,property_type,state,lat,lon,area_m2, price_mxn 
437,house,Yucatán,21.008295,-89.591019,250," $3,006,000 "
438,house,Morelos,18.864482,-98.928802,121," $1,250,000 "
439,house,Distrito Federal,19.366935,-99.077541,208," $1,464,700 "
440,house,San Luis Potosí,23.634501,-102.552788,198," $2,100,000 "
441,house,Chiapas,16.757278,-93.134056,255," $3,135,831 "
442,house,Yucatán,,,270," $2,524,500 "
443,house,Nayarit,20.697244,-105.274384,160," $2,950,000 "
444,house,Morelos,,,234," $4,750,000 "
445,house,Puebla,19.02038,-98.207626,330," $3,500,000 "
446,house,Quintana Roo,21.1773896,-86.8179603,290," $2,250,000 "
447,house,Guerrero,16.855229,-99.918871,150," $1,100,000 "
448,house,Tabasco,17.97423,-92.923836,110," $1,050,000 "
449,house,Chihuahua,,,182," $1,840,000 "
450,house,Distrito Federal,19.313719,-99.231792,300," $1,970,000 "
451,house,Durango,25.58972991,-103.4631872,118," $950,000 "
452,house,Quintana Roo,21.161908,-86.8515279,204," $2,990,000 "
453,house,Yucatán,21.03071,-89.618103,131," $1,350,000 "
454,apartment,Distrito Federal,19.39912,-99.141464,74," $3,332,000 "
455,house,Yucatán,21.05632272,-89.66288656,220," $2,000,000 "
456,house,Estado de México,19.5139313,-99.2281847,160," $2,021,000 "
457,house,Querétaro,20.598278,-100.33121,140," $1,760,000 "
458,house,Sinaloa,23.270559,-106.389061,158," $1,350,000 "
459,house,Baja California Sur,23.634501,-102.552788,80," $950,000 "
460,house,Veracruz de Ignacio de la Llave,,,165," $1,840,000 "
461,apartment,Guerrero,16.85952231,-99.86284733,142," $2,100,000 "
462,house,Morelos,18.884224,-98.982506,150," $880,000 "
463,house,Morelos,18.862602,-99.213448,160," $1,960,000 "
464,apartment,Distrito Federal,19.40012,-99.1532,84," $1,774,000 "
465,house,Veracruz de Ignacio de la Llave,25.55617,-103.481529,307," $2,100,000 "
466,house,Veracruz de Ignacio de la Llave,25.573046,-103.443045,200," $680,000 "
467,house,Morelos,18.858107,-99.200287,105," $1,379,000 "
468,house,Estado de México,,,135," $2,300,000 "
469,house,Chihuahua,28.6569304,-106.0919272,115," $1,300,000 "
470,house,Veracruz de Ignacio de la Llave,28.684125,-100.541089,160," $850,000 "
471,house,Tamaulipas,22.254078,-97.824554,140," $1,150,000 "
472,house,Chiapas,16.766455,-93.111488,240," $1,280,000 "
473,house,Veracruz de Ignacio de la Llave,,,340," $4,250,000 "
474,house,Jalisco,,,100," $1,470,000 "
475,house,Querétaro,20.545198,-100.407191,140," $1,050,000 "
476,house,San Luis Potosí,22.18774276,-100.9580845,200," $1,285,000 "
477,house,Morelos,18.864874,-98.925911,86," $880,000 "
478,house,Baja California Sur,,,64," $1,520,960 "
479,house,Yucatán,,,248," $2,300,000 "
480,apartment,San Luis Potosí,22.133104,-100.982117,130," $1,380,000 "
481,house,Tamaulipas,26.079573,-98.282845,268," $2,200,000 "
482,apartment,Veracruz de Ignacio de la Llave,19.127317,-96.106186,160," $2,900,000 "
483,apartment,Distrito Federal,19.340305,-99.214455,60," $2,300,000 "
484,house,Estado de México,19.517476,-99.272892,170," $1,860,000 "
485,house,Estado de México,19.552838,-99.251161,80," $838,000 "
486,apartment,Distrito Federal,,,80," $1,436,666 "
487,house,Querétaro,,,134," $1,565,000 "
488,house,Estado de México,,,300," $1,150,000 "
489,apartment,Distrito Federal,19.35743172,-99.28732574,67," $2,650,000 "
490,house,Estado de México,19.69323,-99.22522,70," $1,008,860 "
491,house,Veracruz de Ignacio de la Llave,,,110," $950,000 "
492,house,Quintana Roo,,,200," $960,000 "
493,house,Chihuahua,,,199," $1,100,000 "
494,house,Distrito Federal,19.325944,-99.098311,250," $2,050,000 "
495,house,Jalisco,20.621093,-103.319042,380," $3,700,000 "
496,house,Baja California,32.647057,-115.421524,176," $1,950,000 "
497,house,San Luis Potosí,22.141575,-100.900192,245," $1,600,000 "
498,house,Puebla,18.978682,-98.250015,128," $1,300,000 "
499,house,Querétaro,20.619887,-100.392302,350," $3,700,000 "
500,house,Morelos,18.892714,-99.1996,285," $3,750,000 "
501,house,Tamaulipas,22.329824,-97.880325,200," $3,500,000 "
502,apartment,Distrito Federal,19.322523,-99.141464,78," $2,850,000 "
503,house,Chiapas,16.70635,-93.177151,115," $1,020,000 "
504,house,Estado de México,19.297163,-99.635183,230," $2,000,000 "
505,house,Veracruz de Ignacio de la Llave,20.95062266,-97.42163144,64," $850,000 "
506,house,Yucatán,20.9725515,-89.6004394,229," $980,000 "
507,house,Distrito Federal,19.317675,-99.09318,229," $3,500,000 "
508,house,Morelos,18.879347,-99.179871,95," $1,350,000 "
509,house,Durango,25.625198,-103.499954,132," $870,000 "
510,apartment,Distrito Federal,19.401507,-99.14682,90," $1,730,000 "
511,apartment,Distrito Federal,19.474285,-99.084981,74," $684,000 "
512,house,Morelos,18.928623,-99.247382,220," $1,700,000 "
513,house,Querétaro,20.520556,-99.895833,350," $3,900,000 "
514,apartment,Distrito Federal,,,60," $1,480,000 "
515,house,Nuevo León,25.662563,-100.18013,350," $3,000,000 "
516,house,Sinaloa,23.246303,-106.398103,200," $1,000,000 "
517,house,Morelos,18.969294,-99.249802,198," $2,600,000 "
518,apartment,Guerrero,16.75063911,-99.76263069,70," $830,000 "
519,house,Querétaro,,,145," $780,000 "
520,house,Distrito Federal,19.335116,-99.223332,90," $3,260,000 "
521,apartment,Distrito Federal,19.402944,-99.199727,70," $1,163,600 "
522,house,Estado de México,19.682219,-99.118782,188," $3,100,000 "
523,house,Nuevo León,25.7214602,-100.2735673,85," $1,200,000 "
524,house,Querétaro,20.5980665,-100.4308988,115," $1,350,000 "
525,house,Nuevo León,25.672399,-100.257777,123," $1,220,000 "
526,house,Nuevo León,,,62," $800,000 "
527,apartment,Distrito Federal,19.399815,-99.150806,90," $2,280,000 "
528,house,Yucatán,20.9550515,-89.6793392,120," $780,000 "
529,house,Chiapas,16.228815,-92.128043,147," $1,300,000 "
530,apartment,Jalisco,20.69064,-103.393175,166," $5,217,265 "
531,house,Querétaro,,,212," $4,000,000 "
532,house,Estado de México,19.258327,-99.598374,215," $4,695,000 "
533,house,Querétaro,20.726007,-100.442642,295," $5,200,000 "
534,apartment,Distrito Federal,19.403334,-99.157755,125," $4,580,150 "
535,apartment,Baja California,32.451368,-116.973935,70," $685,750 "
536,house,Aguascalientes,21.901482,-102.34405,350," $3,850,000 "
537,house,Jalisco,20.302476,-103.23781,340," $5,949,000 "
538,house,Puebla,19.076204,-98.266733,117," $1,350,000 "
539,apartment,Distrito Federal,19.48778,-99.110583,65," $1,000,000 "
540,house,Distrito Federal,19.3176966,-99.0612554,100," $2,075,000 "
541,house,Chiapas,,,210," $1,500,000 "
542,house,Quintana Roo,21.129547,-86.817017,180," $1,850,000 "
543,house,Puebla,19.046724,-98.254127,136," $2,284,800 "
544,apartment,Distrito Federal,19.352431,-99.288369,80," $2,900,000 "
545,house,Morelos,18.858107,-99.200287,92," $995,580 "
546,house,Querétaro,20.6536084,-100.3469826,130," $1,690,000 "
547,house,Nuevo León,25.7542524,-100.4034274,137," $1,350,000 "
548,house,Estado de México,,,108," $1,240,000 "
549,house,Yucatán,21.006756,-89.570984,155," $1,350,000 "
550,house,Morelos,18.891621,-99.071698,68," $790,000 "
551,house,Distrito Federal,19.317653,-99.236291,350," $3,350,000 "
552,house,Tamaulipas,22.246319,-97.86264,163," $2,150,000 "
553,apartment,Distrito Federal,23.634501,-102.552788,100," $1,500,000 "
554,apartment,Distrito Federal,19.3651763,-99.2300641,66," $1,250,000 "
555,house,Querétaro,20.593055,-100.333424,175," $1,800,000 "
556,house,Nuevo León,25.6910283,-100.3568071,340," $5,900,000 "
557,house,Jalisco,20.594706,-103.396278,90," $980,000 "
558,house,Veracruz de Ignacio de la Llave,23.634501,-102.552788,148," $1,550,000 "
559,house,Puebla,18.989918,-98.2295,220," $1,700,000 "
560,house,Puebla,19.043993,-98.25757,188," $1,500,000 "
561,house,Hidalgo,20.1213329,-98.7818531,66," $650,000 "
562,house,Estado de México,,,90," $1,354,548 "
563,house,Nayarit,20.733392,-105.288009,172," $2,250,000 "
564,apartment,Distrito Federal,19.400249,-99.177444,150," $5,200,000 "
565,house,Puebla,,,226," $3,000,000 "
566,house,Yucatán,21.023252,-89.614571,300," $3,100,000 "
567,house,Hidalgo,20.124367,-98.735725,176," $1,567,000 "
568,house,Veracruz de Ignacio de la Llave,25.510947,-103.357724,146," $900,000 "
569,apartment,Distrito Federal,19.480501,-99.178139,70," $870,000 "
570,house,Yucatán,21.030668,-89.599258,305," $3,600,000 "
571,house,Querétaro,20.679045,-100.341225,157," $1,950,000 "
572,house,Aguascalientes,21.9633957,-102.343524,146," $790,000 "
573,house,Baja California,32.469498,-116.96022,111," $650,000 "
574,house,Puebla,,,129," $1,189,000 "
575,house,Tamaulipas,22.329824,-97.880325,138," $1,580,000 "
576,apartment,Yucatán,21.039522,-89.563911,145," $2,399,634 "
577,house,Chiapas,19.701769,-101.145103,120," $650,000 "
578,apartment,Guerrero,16.870413,-99.873192,150," $3,650,000 "
579,house,Morelos,,,250," $4,800,000 "
580,house,Estado de México,19.765149,-98.646915,380," $1,990,000 "
581,apartment,Distrito Federal,19.372248,-99.133377,65," $1,074,852 "
582,house,Distrito Federal,19.280767,-99.033615,349," $1,811,525 "
583,house,Chiapas,,,170," $990,000 "
584,apartment,Distrito Federal,19.389791,-99.164696,154," $5,000,000 "
585,house,Yucatán,21.039522,-89.563911,350," $3,050,000 "
586,house,Estado de México,19.668947,-99.224525,90," $760,000 "
587,house,Puebla,19.009069,-98.196693,148," $1,700,000 "
588,house,Baja California,32.494823,-117.016725,92," $980,000 "
589,apartment,Distrito Federal,19.314545,-99.140672,122," $4,650,000 "
590,house,San Luis Potosí,22.1447396,-101.0273412,166," $1,900,000 "
591,house,Jalisco,20.64338,-103.431613,120," $1,350,000 "
592,house,Querétaro,,,155," $2,250,000 "
593,house,Baja California,30.733356,-115.984407,200," $1,700,000 "
594,house,Estado de México,19.553615,-99.248715,260," $2,800,000 "
595,apartment,Distrito Federal,19.405298,-99.164986,80," $4,280,000 "
596,house,Querétaro,20.5969621,-100.3337597,193," $2,250,000 "
597,house,Puebla,,,212," $2,700,000 "
598,house,Morelos,23.634501,-102.552788,115," $1,080,000 "
599,house,Distrito Federal,19.34016,-99.194081,90," $1,519,125 "
600,house,Yucatán,21.075163,-89.516731,185," $1,430,000 "
601,house,Tamaulipas,22.257896,-97.86808,200," $2,700,000 "
602,apartment,Guerrero,16.8531086,-99.8236533,138," $1,300,000 "
603,house,Puebla,19.027384,-98.265213,160," $2,300,000 "
604,house,Estado de México,19.309069,-99.602311,146," $1,900,000 "
605,apartment,Puebla,,,180," $3,790,000 "
606,house,Sinaloa,23.20485,-106.424401,200," $2,250,000 "
607,house,Chihuahua,28.631943,-106.117668,170," $1,550,000 "
608,house,Yucatán,21.0399331,-89.5965747,235," $2,436,155 "
609,house,Morelos,,,185," $1,400,000 "
610,house,Guerrero,16.8808724,-99.9359641,104," $850,000 "
611,house,Baja California Sur,24.125583,-110.330846,128," $1,790,000 "
612,house,Chihuahua,,,130," $1,200,000 "
613,house,Estado de México,19.269808,-99.593781,238," $3,750,000 "
614,apartment,Distrito Federal,19.41498,-99.177444,164," $5,500,000 "
615,house,Yucatán,20.996355,-89.583946,248," $2,400,000 "
616,house,Morelos,18.954132,-99.266083,85," $1,050,000 "
617,house,Estado de México,19.494789,-99.270887,151," $2,010,000 "
618,house,Guerrero,17.6474239,-101.5455504,119," $2,376,400 "
619,house,Estado de México,19.2666119,-99.6403991,191," $2,200,000 "
620,house,Quintana Roo,21.161908,-86.8515279,210," $1,975,000 "
621,apartment,Distrito Federal,19.377171,-99.188503,72," $2,028,000 "
622,apartment,Distrito Federal,19.2790911,-99.2114234,76," $771,282 "
623,house,Jalisco,20.660534,-103.318809,345," $1,300,000 "
624,house,Veracruz de Ignacio de la Llave,20.95618,-97.408578,112," $2,000,000 "
625,house,San Luis Potosí,22.141575,-100.900192,229," $2,148,600 "
626,apartment,Distrito Federal,19.443178,-99.20237,115," $4,535,000 "
627,house,Yucatán,21.05258302,-89.53863859,168," $1,533,516 "
628,house,Estado de México,19.621174,-99.148073,100," $700,000 "
629,house,Puebla,18.915431,-98.435252,200," $1,890,000 "
630,house,Estado de México,,,215," $1,984,620 "
631,house,Yucatán,,,130," $2,095,000 "
632,house,Tabasco,17.962037,-92.973569,139," $1,250,000 "
633,apartment,Distrito Federal,19.30102797,-99.14421916,108," $1,650,000 "
634,apartment,Puebla,,,68," $788,536 "
635,apartment,Veracruz de Ignacio de la Llave,20.949051,-97.364006,300," $3,700,000 "
636,house,Estado de México,19.627731,-99.30194,146," $870,000 "
637,house,Baja California Sur,24.03902146,-110.3097618,250," $2,950,000 "
638,house,Quintana Roo,21.112447,-86.85264,180," $2,500,000 "
639,apartment,Distrito Federal,19.451872,-99.173522,70," $1,270,000 "
640,house,Morelos,18.913485,-99.240456,80," $1,300,000 "
641,house,Morelos,18.840925,-98.934196,110," $1,800,000 "
642,apartment,Distrito Federal,19.3819271,-99.1891539,90," $3,390,500 "
643,house,Veracruz de Ignacio de la Llave,25.558637,-103.449786,250," $2,200,000 "
644,house,Jalisco,20.764135,-103.339958,140," $1,600,000 "
645,apartment,Distrito Federal,19.385989,-99.186285,107," $1,507,500 "
646,house,San Luis Potosí,,,360," $5,300,000 "
647,house,Chihuahua,28.6329957,-106.0691004,290," $3,715,000 "
648,house,Puebla,18.996482,-98.239653,100," $750,000 "
649,apartment,Distrito Federal,19.401507,-99.14682,65," $1,730,000 "
650,house,Querétaro,20.726007,-100.442642,135," $2,200,000 "
651,house,Morelos,18.795519,-99.231445,165," $1,780,000 "
652,house,Morelos,18.885848,-98.973834,82," $1,438,200 "
653,house,Estado de México,,,90," $626,000 "
654,house,Aguascalientes,,,235," $2,200,000 "
655,apartment,Puebla,,,140," $2,550,000 "
656,house,Querétaro,20.403807,-99.990905,110," $1,180,000 "
657,house,San Luis Potosí,22.134478,-100.929138,97," $775,000 "
658,house,Querétaro,,,90," $856,800 "
659,house,Estado de México,19.5562275,-99.2674713,64," $999,999 "
660,apartment,Querétaro,20.726007,-100.442642,173," $4,400,000 "
661,house,Nuevo León,25.757803,-100.404541,179," $1,890,000 "
662,house,San Luis Potosí,22.1593377,-101.0443504,187," $1,900,000 "
663,house,Querétaro,20.726007,-100.442642,180," $2,430,000 "
664,house,Distrito Federal,19.475765,-99.145,270," $2,500,000 "
665,house,Querétaro,20.6490506,-100.4393293,380," $5,700,000 "
666,house,Puebla,19.060701,-98.329774,255," $2,650,000 "
667,house,Veracruz de Ignacio de la Llave,25.365447,-100.9942,167," $1,444,000 "
668,apartment,Guerrero,23.634501,-102.552788,180," $2,000,000 "
669,house,Baja California,32.589504,-115.363762,86," $790,000 "
670,apartment,Distrito Federal,19.383952,-99.160229,110," $3,350,220 "
671,house,Puebla,18.97302,-98.206238,210," $2,850,000 "
672,apartment,Baja California Sur,24.16478214,-110.3053683,71," $800,000 "
673,apartment,Yucatán,21.072905,-89.65963,210," $1,976,250 "
674,house,Morelos,,,81," $1,000,000 "
675,house,Sinaloa,,,224," $1,850,000 "
676,house,Sonora,,,150," $1,638,000 "
677,apartment,San Luis Potosí,,,220," $2,250,000 "
678,house,Nuevo León,25.758963,-100.316811,175," $1,250,000 "
679,house,Puebla,19.0378006,-98.3007086,165," $2,120,000 "
680,house,Morelos,,,185," $1,600,000 "
681,house,Distrito Federal,19.3870644,-99.0362059,300," $2,550,000 "
682,house,Estado de México,19.5329337,-99.164866,290," $4,650,000 "
683,house,Veracruz de Ignacio de la Llave,,,225," $2,800,000 "
684,house,Tlaxcala,19.29712,-98.255075,160," $1,300,000 "
685,house,Morelos,,,150," $1,580,000 "
686,house,Veracruz de Ignacio de la Llave,,,155," $1,700,000 "
687,house,Morelos,23.634501,-102.552788,110," $1,300,000 "
688,house,Querétaro,20.70706703,-100.4718161,309," $3,700,000 "
689,house,Puebla,19.046589,-98.102929,92," $630,000 "
690,house,Nuevo León,25.7394971,-100.2754971,164," $1,250,000 "
691,house,Veracruz de Ignacio de la Llave,19.100079,-96.121007,220," $2,850,000 "
692,house,Morelos,,,144," $805,000 "
693,house,San Luis Potosí,22.147087,-100.960213,105," $1,100,000 "
694,apartment,San Luis Potosí,,,169," $2,890,000 "
695,house,Guanajuato,21.1264477,-101.611078,250," $2,290,000 "
696,house,Morelos,18.917542,-98.963181,140," $1,450,000 "
697,house,Distrito Federal,19.472128,-99.146697,190," $1,943,000 "
698,house,Estado de México,19.234984,-99.558175,115," $2,100,000 "
699,house,Puebla,18.9187144,-98.4266391,90," $890,000 "
700,house,Yucatán,21.075163,-89.516731,185," $1,695,000 "
